Week of Allocations,1st Dose Allocations,2nd Dose Allocations,Jurisdiction
05/03/2021,"99,450","99,450",Tennessee
05/03/2021,"40,950","40,950",Chicago
05/03/2021,"149,760","149,760",Illinois
05/03/2021,"97,110","97,110",Indiana
05/03/2021,"148,590","148,590",Michigan
05/03/2021,"81,900","81,900",Minnesota
05/03/2021,"173,160","173,160",Ohio
05/03/2021,"86,580","86,580",Wisconsin
05/03/2021,"44,460","44,460",Arkansas
05/03/2021,"69,030","69,030",Louisiana
05/03/2021,"31,590","31,590",New Mexico
05/03/2021,"57,330","57,330",Oklahoma
05/03/2021,"394,290","394,290",Texas
05/03/2021,"46,800","46,800",Iowa
05/03/2021,"42,120","42,120",Kansas
05/03/2021,"90,090","90,090",Missouri
05/03/2021,"28,080","28,080",Nebraska
05/03/2021,"81,900","81,900",Colorado
05/03/2021,"16,380","16,380",Montana
05/03/2021,"11,700","11,700",North Dakota
05/03/2021,"12,870","12,870",South Dakota
05/03/2021,"40,950","40,950",Utah
05/03/2021,"9,360","9,360",Wyoming
05/03/2021,"102,960","102,960",Arizona
05/03/2021,"575,640","575,640",California
05/03/2021,"22,230","22,230",Hawaii
05/03/2021,"43,290","43,290",Nevada
05/03/2021,0,0,American Samoa
05/03/2021,0,0,Guam
05/03/2021,0,0,Marshall Islands
05/03/2021,0,0,Micronesia
05/03/2021,0,0,Mariana Islands
05/03/2021,0,0,Palau
05/03/2021,"18,720","18,720",Alaska
05/03/2021,"24,570","24,570",Idaho
05/03/2021,"62,010","62,010",Oregon
05/03/2021,"109,980","109,980",Washington
05/03/2021,"218,790","218,790",Federal Entities
04/26/2021,"54,990","54,990",Connecticut
04/26/2021,"21,060","21,060",Maine
04/26/2021,"105,300","105,300",Massachusetts
04/26/2021,"21,060","21,060",New Hampshire
04/26/2021,"16,380","16,380",Rhode Island
04/26/2021,"10,530","10,530",Vermont
04/26/2021,"132,210","132,210",New Jersey
04/26/2021,"168,480","168,480",New York
04/26/2021,"128,700","128,700",New York City
04/26/2021,"52,650","52,650",Puerto Rico
04/26/2021,"2,340","2,340",U.S. Virgin Islands
04/26/2021,"15,210","15,210",Delaware
04/26/2021,"11,700","11,700",District of Columbia
04/26/2021,"90,090","90,090",Maryland
04/26/2021,"170,820","170,820",Pennsylvania
04/26/2021,"24,570","24,570",Philadelphia
04/26/2021,"126,360","126,360",Virginia
04/26/2021,"28,080","28,080",West Virginia
04/26/2021,"72,540","72,540",Alabama
04/26/2021,"314,730","314,730",Florida
04/26/2021,"149,760","149,760",Georgia
04/26/2021,"66,690","66,690",Kentucky
04/26/2021,"44,460","44,460",Mississippi
04/26/2021,"150,930","150,930",North Carolina
04/26/2021,"74,880","74,880",South Carolina
04/26/2021,"99,450","99,450",Tennessee
04/26/2021,"40,950","40,950",Chicago
04/26/2021,"149,760","149,760",Illinois
04/26/2021,"97,110","97,110",Indiana
04/26/2021,"148,590","148,590",Michigan
04/26/2021,"81,900","81,900",Minnesota
04/26/2021,"173,160","173,160",Ohio
04/26/2021,"86,580","86,580",Wisconsin
04/26/2021,"44,460","44,460",Arkansas
04/26/2021,"69,030","69,030",Louisiana
04/26/2021,"31,590","31,590",New Mexico
04/26/2021,"57,330","57,330",Oklahoma
04/26/2021,"394,290","394,290",Texas
04/26/2021,"46,800","46,800",Iowa
04/26/2021,"42,120","42,120",Kansas
04/26/2021,"90,090","90,090",Missouri
04/26/2021,"28,080","28,080",Nebraska
04/26/2021,"81,900","81,900",Colorado
04/26/2021,"16,380","16,380",Montana
04/26/2021,"11,700","11,700",North Dakota
04/26/2021,"12,870","12,870",South Dakota
04/26/2021,"40,950","40,950",Utah
04/26/2021,"9,360","9,360",Wyoming
04/26/2021,"102,960","102,960",Arizona
04/26/2021,"575,640","575,640",California
04/26/2021,"22,230","22,230",Hawaii
04/26/2021,"43,290","43,290",Nevada
04/26/2021,0,0,American Samoa
04/26/2021,0,0,Guam
04/26/2021,0,0,Marshall Islands
04/26/2021,0,0,Micronesia
04/26/2021,0,0,Mariana Islands
04/26/2021,0,0,Palau
04/26/2021,0,0,Alaska
04/26/2021,"24,570","24,570",Idaho
04/26/2021,"62,010","62,010",Oregon
04/26/2021,"109,980","109,980",Washington
04/26/2021,"218,790","218,790",Federal Entities
04/19/2021,"54,990","54,990",Connecticut
04/19/2021,"21,060","21,060",Maine
04/19/2021,"105,300","105,300",Massachusetts
04/19/2021,"21,060","21,060",New Hampshire
04/19/2021,"16,380","16,380",Rhode Island
04/19/2021,"10,530","10,530",Vermont
04/19/2021,"132,210","132,210",New Jersey
04/19/2021,"168,480","168,480",New York
04/19/2021,"128,700","128,700",New York City
04/19/2021,"52,650","52,650",Puerto Rico
04/19/2021,"2,340","2,340",U.S. Virgin Islands
04/19/2021,"15,210","15,210",Delaware
04/19/2021,"11,700","11,700",District of Columbia
04/19/2021,"90,090","90,090",Maryland
04/19/2021,"170,820","170,820",Pennsylvania
04/19/2021,"24,570","24,570",Philadelphia
04/19/2021,"126,360","126,360",Virginia
04/19/2021,"28,080","28,080",West Virginia
04/19/2021,"72,540","72,540",Alabama
04/19/2021,"314,730","314,730",Florida
04/19/2021,"149,760","149,760",Georgia
04/19/2021,"66,690","66,690",Kentucky
04/19/2021,"44,460","44,460",Mississippi
04/19/2021,"150,930","150,930",North Carolina
04/19/2021,"74,880","74,880",South Carolina
04/19/2021,"99,450","99,450",Tennessee
04/19/2021,"40,950","40,950",Chicago
04/19/2021,"149,760","149,760",Illinois
04/19/2021,"97,110","97,110",Indiana
04/19/2021,"148,590","148,590",Michigan
04/19/2021,"81,900","81,900",Minnesota
04/19/2021,"173,160","173,160",Ohio
04/19/2021,"86,580","86,580",Wisconsin
04/19/2021,"44,460","44,460",Arkansas
04/19/2021,"69,030","69,030",Louisiana
04/19/2021,"31,590","31,590",New Mexico
04/19/2021,"57,330","57,330",Oklahoma
04/19/2021,"394,290","394,290",Texas
04/19/2021,"46,800","46,800",Iowa
04/19/2021,"42,120","42,120",Kansas
04/19/2021,"90,090","90,090",Missouri
04/19/2021,"28,080","28,080",Nebraska
04/19/2021,"81,900","81,900",Colorado
04/19/2021,"16,380","16,380",Montana
04/19/2021,"11,700","11,700",North Dakota
04/19/2021,"12,870","12,870",South Dakota
04/19/2021,"40,950","40,950",Utah
04/19/2021,"9,360","9,360",Wyoming
04/19/2021,"102,960","102,960",Arizona
04/19/2021,"575,640","575,640",California
04/19/2021,"22,230","22,230",Hawaii
04/19/2021,"43,290","43,290",Nevada
04/19/2021,0,0,American Samoa
04/19/2021,0,0,Guam
04/19/2021,0,0,Marshall Islands
04/19/2021,0,0,Micronesia
04/19/2021,0,0,Mariana Islands
04/19/2021,0,0,Palau
04/19/2021,0,0,Alaska
04/19/2021,"24,570","24,570",Idaho
04/19/2021,"62,010","62,010",Oregon
04/19/2021,"109,980","109,980",Washington
04/19/2021,"203,580","203,580",Federal Entities
04/12/2021,"51,480","51,480",Connecticut
04/12/2021,"19,890","19,890",Maine
04/12/2021,"97,110","97,110",Massachusetts
04/12/2021,"19,890","19,890",New Hampshire
04/12/2021,"15,210","15,210",Rhode Island
04/12/2021,"9,360","9,360",Vermont
04/12/2021,"124,020","124,020",New Jersey
04/12/2021,"156,780","156,780",New York
04/12/2021,"119,340","119,340",New York City
04/12/2021,"49,140","49,140",Puerto Rico
04/12/2021,"2,340","2,340",U.S. Virgin Islands
04/12/2021,"14,040","14,040",Delaware
04/12/2021,"10,530","10,530",District of Columbia
04/12/2021,"83,070","83,070",Maryland
04/12/2021,"159,120","159,120",Pennsylvania
04/12/2021,"22,230","22,230",Philadelphia
04/12/2021,"117,000","117,000",Virginia
04/12/2021,"26,910","26,910",West Virginia
04/12/2021,"67,860","67,860",Alabama
04/12/2021,"293,670","293,670",Florida
04/12/2021,"139,230","139,230",Georgia
04/12/2021,"62,010","62,010",Kentucky
04/12/2021,"40,950","40,950",Mississippi
04/12/2021,"140,400","140,400",North Carolina
04/12/2021,"69,030","69,030",South Carolina
04/12/2021,"92,430","92,430",Tennessee
04/12/2021,"37,440","37,440",Chicago
04/12/2021,"139,230","139,230",Illinois
04/12/2021,"91,260","91,260",Indiana
04/12/2021,"139,230","139,230",Michigan
04/12/2021,"76,050","76,050",Minnesota
04/12/2021,"161,460","161,460",Ohio
04/12/2021,"80,730","80,730",Wisconsin
04/12/2021,"40,950","40,950",Arkansas
04/12/2021,"64,350","64,350",Louisiana
04/12/2021,"29,250","29,250",New Mexico
04/12/2021,"53,820","53,820",Oklahoma
04/12/2021,"367,380","367,380",Texas
04/12/2021,"43,290","43,290",Iowa
04/12/2021,"39,780","39,780",Kansas
04/12/2021,"84,240","84,240",Missouri
04/12/2021,"26,910","26,910",Nebraska
04/12/2021,"76,050","76,050",Colorado
04/12/2021,"15,210","15,210",Montana
04/12/2021,"10,530","10,530",North Dakota
04/12/2021,"11,700","11,700",South Dakota
04/12/2021,"38,610","38,610",Utah
04/12/2021,"8,190","8,190",Wyoming
04/12/2021,"95,940","95,940",Arizona
04/12/2021,"535,860","535,860",California
04/12/2021,"19,890","19,890",Hawaii
04/12/2021,"40,950","40,950",Nevada
04/12/2021,0,0,American Samoa
04/12/2021,0,0,Guam
04/12/2021,0,0,Marshall Islands
04/12/2021,0,0,Micronesia
04/12/2021,0,0,Mariana Islands
04/12/2021,0,0,Palau
04/12/2021,0,0,Alaska
04/12/2021,"23,400","23,400",Idaho
04/12/2021,"58,500","58,500",Oregon
04/12/2021,"102,960","102,960",Washington
04/12/2021,"201,240","201,240",Federal Entities
04/05/2021,"50,310","50,310",Connecticut
04/05/2021,"19,890","19,890",Maine
04/05/2021,"95,940","95,940",Massachusetts
04/05/2021,"19,890","19,890",New Hampshire
04/05/2021,"15,210","15,210",Rhode Island
04/05/2021,"9,360","9,360",Vermont
04/05/2021,"120,510","120,510",New Jersey
04/05/2021,"153,270","153,270",New York
04/05/2021,"117,000","117,000",New York City
04/05/2021,"47,970","47,970",Puerto Rico
04/05/2021,"2,340","2,340",U.S. Virgin Islands
04/05/2021,"14,040","14,040",Delaware
04/05/2021,"10,530","10,530",District of Columbia
04/05/2021,"81,900","81,900",Maryland
04/05/2021,"155,610","155,610",Pennsylvania
04/05/2021,"22,230","22,230",Philadelphia
04/05/2021,"114,660","114,660",Virginia
